,step,metric,value
0,0,hp_metric,-1.0
1,49,train_loss_step,1.3497282266616821
2,99,train_loss_step,1.2144335508346558
3,149,train_loss_step,1.1999176740646362
4,199,train_loss_step,1.3461476564407349
5,249,train_loss_step,1.191632628440857
6,299,train_loss_step,1.2119194269180298
7,349,train_loss_step,1.3914228677749634
8,399,train_loss_step,1.0806704759597778
9,449,train_loss_step,1.552419900894165
10,499,train_loss_step,1.2496501207351685
11,549,train_loss_step,1.09958815574646
12,599,train_loss_step,1.1792863607406616
13,649,train_loss_step,1.0623289346694946
14,699,train_loss_step,1.0035415887832642
15,749,train_loss_step,1.063279390335083
16,799,train_loss_step,1.0009407997131348
17,849,train_loss_step,1.1700350046157837
18,899,train_loss_step,1.0374796390533447
19,949,train_loss_step,1.022800087928772
20,999,train_loss_step,1.0007734298706055
21,1049,train_loss_step,0.9351933598518372
22,1099,train_loss_step,1.0430195331573486
23,1149,train_loss_step,1.038224220275879
24,1199,train_loss_step,1.0603878498077393
25,1249,train_loss_step,0.9897558093070984
26,1299,train_loss_step,0.9946795105934143
27,1349,train_loss_step,0.928402304649353
28,1399,train_loss_step,0.877924919128418
29,1449,train_loss_step,0.9553182721138
30,1499,train_loss_step,0.9111318588256836
31,1549,train_loss_step,0.9332634210586548
32,1599,train_loss_step,0.952938973903656
33,1649,train_loss_step,0.9037948846817017
34,1699,train_loss_step,1.099868655204773
35,1749,train_loss_step,1.0073107481002808
36,1799,train_loss_step,0.9031378030776978
37,1849,train_loss_step,0.9831414818763733
38,1899,train_loss_step,1.015896201133728
39,1949,train_loss_step,0.8982236981391907
40,1999,train_loss_step,0.9303528666496277
41,2049,train_loss_step,0.8945687413215637
42,2099,train_loss_step,0.8920171856880188
43,2149,train_loss_step,0.8961384296417236
44,2199,train_loss_step,0.7887347340583801
45,2249,train_loss_step,0.8071655631065369
46,2299,train_loss_step,0.8485168218612671
47,2349,train_loss_step,0.854034960269928
48,2399,train_loss_step,0.9477887153625488
49,2449,train_loss_step,0.8415176272392273
50,2499,train_loss_step,1.0238585472106934
51,2549,train_loss_step,1.0536251068115234
52,2599,train_loss_step,0.8236016631126404
53,2649,train_loss_step,0.8116512894630432
54,2699,train_loss_step,0.805484414100647
55,2749,train_loss_step,0.94310063123703
56,2799,train_loss_step,0.8448808789253235
57,2849,train_loss_step,0.9077919125556946
58,2899,train_loss_step,0.9521724581718445
59,2949,train_loss_step,0.8331016898155212
60,2999,train_loss_step,0.9438527226448059
61,3049,train_loss_step,0.7783865332603455
62,3099,train_loss_step,0.8517811298370361
63,3149,train_loss_step,0.7729209661483765
64,3199,train_loss_step,0.7067972421646118
65,3249,train_loss_step,0.8647788166999817
66,3299,train_loss_step,0.8751572370529175
67,3349,train_loss_step,0.8720368146896362
68,3399,train_loss_step,0.806335985660553
69,3449,train_loss_step,0.8969092965126038
